City,Distance
"Madisonville, LA",39
"Chicot, AR",289
"Henry, TN",492
"Nantes, France",#ERROR!
"St. Charles, MO",690
"Clarke, MS",188
"Canton, MS",212
"Tangipahoa, LA",85
"Avoyelles, LA",161
"Donaldsonville, LA",66
"Hopkins, KY",642
"Unknown, TN",504
"Pascagoula, MS",112
"Wuakin, NC",855
"Clarendon, SC",736
"Sumpter, SC",733
"Bedford, TN",501
"Union, KY",791
"St.Louis, MO",677
"Fluvanna, VA",987
"Pascagoula, AL",112
"Gibson, TN",489
"Edenton, NC",1015
"Apalachichola, FL",389
"Sequine, TX",509
"Berwick Bay, LA",87
"Woodville, AL",437
"Marshall, TX",359
"Versailles, France",#ERROR!
"Arkansas, TX",726
"Grayson, TX",542
"Pintlala, AL",299
"Patrick, VA",843
"Franklin, MS",242
"Franklin, AL",344
"Bayford, SC",670
"Boone, VA",1031
"Tallahassee, MS",200
"Jackson, LA",115
"Augusta, VA",943
"Washington D.C., Unknown",1086
"Macon, GA",495
"Feltville, NJ",1283
"Monroe, MO",795
"Monroe, LA",283
"Dallas, TX",506
"Clarke, AL",223
"Owen, KY",769
"Fauquier, VA",1049
"Bay of St. Louis, MS",62
"Platte, MO",873
"Hempstead, AR",437
"Unknown, IL",841
"Gaines, AR",471
"Wilkinson, GA",526
"San Patricio, TX",561
"Demopolis, AL",255
"Philadelphia, PA",1225
"Port Hernando, FL",563
"Madison, TN",543
"Pascagoula, FL",700
"Columbus, GA",392
"Unknown, AL",308
"New Orleans, Paris, LA, FRANCE",#ERROR!
"Baltimore, LA",1898
"Bolivar, MS",312
"Williamson, TN",517
"Madison, MS",201
"Montgomery, MO",745
"Boone, MO",793
"Davidson, TN",535
"Lexington, MS",249
"Ratherford, TN",500
"Thibodeaux, LA",61
"Issequana, MS",258
"Jackson, MO",572
"Boyle, KY",728
"Kanawha Courthouse, VA",1044
"Sand, TX",845
"Obion, TN",496
"Hoxuby, MS",#ERROR!
"Boone, KY",799
"Howard, MS",257
"Tchula, MS",256
"Munroe County, MS",318
"Hancock, IL",835
"Pau, France",#ERROR!
"Fleurance, France",#ERROR!
"Mount Sterling, KY",782
"Lexington, MO",880
"Mississippi, MO",544
"Todd, KY",598
"Terry, MS",171
"Unknown, KY",751
"Unknown, NC",855
"Glascow, KY",628
"McCracken County, KY",568
"Howard, MO",820
"Monticello, AR",342
"Butler County, AL",260
"Refugio, TX",513
"Taylor, GA",448
"Audrain, MO",786
"Montgomery, TN",591
"Ocean Springs, MS",94
"Franklin, LA",107
"Marseille, France",#ERROR!
"Lamar County, TX",483
"Columbia, AR",352
"Harrison, AL",308
"Worchester, MA",1488
"Pine Bluff, AR",381
"Chesterfield, VA",997
"Person, NC",863
"Unknown, VA",#ERROR!
"Winnin, LA",#ERROR!
"New Castle, KY",744
"Macon, KY",647
"San Francisco, CA",2235
"Noxubee, MS",264
"Gainesville, MS",57
"Paris, TN",502
"Lexington, KY",746
"Kwines, TX",726
"Hinds, MS",184
"Andrew, MO",1104
"Paris, KY",764
"Winn, LA",251
"Paducah, KY",571
"Unknown, RI",1480
"East Pascagoula, MS",113
"Brooksville, FL",624
"Richmond, LA",228
"Oxford, MS",347
"Arkansas, AR",471
"McCracken County, LA",568
"Key West, FL",1022
"Washington, AR",435
"Clay County, MO",868
"Drew County, AR",345
"Platte, MS",200
"Medina County, TX",578
"Gainsville, MS",57
"Weekly, TN",526
"Unknown, MD",#ERROR!
"Danville, NC",855
"Ashley County, AR",320
"Randolph, MO",856
"Grenada, MS",300
"Wilkinson, MS",146
"Tyler, TX",416
"Sabine, MO",671
"Denton, TX",543
"Summitt, MS",114
"Frederick, MD",1073
"St. James, New Orleans, LA",2
"Henderson, KY",677
"New Orleans, Jefferson, LA",7
"Clay, MS",370
"Hampton, Elizabeth City, VA",1047
"Jefferson, FL",413
"Charles, MD",1095
"Galvez, TX",370
"Pike, MO",559
"Jackson, TN",446
"Boston, MA",1525
"Orange, TX",240
"Lauderdale, AL",413
"Fayetteville, TN",482
"Madison, AL",434
"Marion, TX",520
"Warrenton, VA",1049
"Merryweather, GA",522
"Monroe, TN",614
"Newport Wakulla, FL",404
"Buchanan, MO",894
"Rome, GA",463
"Vaufrild, SC",670
"Kames, TX",387
"Georgetown, SC",814
"Dallas, AR",506
"Des Arc, AR",441
"Unknown, Mexico",1089
"Marion, GA",424
"Mobile, LA",145
"Warren, MS",210
"Brooklyn, NY",1315
"Tichiminigo, MS",388
"Travis, TX",505
"Mocksville, SC",670
"Richmond, Ray, MO",888
"Guanajueto, Mexico",1204
"Liberty, TX",305
"Covington, KY",804
"Sunflower, MS",286
"Lexington, GA",558
"Scott, KY",766
"Decatur, GA",478
"Mexico City, New Orleans, Mexico, LA",1273
"St. Charles, New Orleans, LA",3
"Plaquemines, LA, Mexico",1089
"Camden, SC",709
"Charleston, VA",772
"Memphis, MS",200
"Ixelles, Unknown",#ERROR!
"Red River, TX",461
